energy_100g,fat_100g,saturated_fat_100g,trans_fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin_a_100g,vitamin_c_100g,calcium_100g,iron_100g
709.008653,5.130417,1.404985,0.000158,0.000066,24.852092,10.980249,0.775598,5.387992,0.567073,0.223261,0.000002,0.000431,0.005571,0.000028
1080.192,16.1278,6.056,0,0,1.09,0.678,0.142,27.5268,4.08792,1.609417,0,0,0,0
2288.685106,33.489362,7,0.002128,0,55.138298,52.210638,0.014894,5.402128,0.134079,0.052787,0,0,0.001489,0.000036
2298,33.523935,6.584375,0,0.000016,55.374268,53.364063,3.131157,5.243614,0.13367,0.052628,0,0,0,0
1909.903846,18.971731,1.794615,0,0,61.861923,52.701154,3.112692,8.1,0.09468,0.037278,0,0,0,0
1922.5,18.121429,7.996429,0,0,65.114286,7.15,2.778571,8.5,2.4357,0.958923,0.000011,0,0,0.000257
1369.9,2.902,0.444,0,0,64.127,2.311,0,9.17,3.918,1.54252,0,0,0,0
1926.142857,24.857143,2.342857,0,0,48.785714,37.242857,3.728571,8.728571,0.056029,0.022058,0,0,0,0
1790.916667,12.35,7.328333,0,0,74.958333,66.783333,2.7125,2.4125,0.061858,0.024353,0,0,0.004108,0.000386
2427.4,37.561968,7.48,0,0,57.186415,36.19,0.929656,3.119082,0.537162,0.211529,0,0,0,0
